Coaster,Park,City,State,Census Region,Year Opened,AgeGroup,TopSpeed,MaxHeight,Scale,Type,Design,Drop,Length,Duration,Inversions?,# of Inversions,Make,Latitude,Longitude
Tigris,Busch Gardens Tampa,Tampa,Florida,South,2019,3:Newest,62,150,Extreme,Steel,Sit Down,135,863,NA,Yes,1,Premier Rides,27.9961,-82.582
Tig'rr Coaster,Indiana Beach,Monticello,Indiana,Midwest,1984,2:Recent,31.1,44.3,Thrill,Steel,Sit Down,NA,1765.1,NA,No,0,Schwarzkopf,40.7792,-86.7495
Timber Terror,Silverwood Theme Park,Athol,Idaho,West,1996,2:Recent,55,85,Extreme,Wood,Sit Down,81,2700,92,No,0,"Custom Coasters International, Inc.",47.9224,-116.686
Timber Twister,Gilroy Gardens Family Theme Park,Gilroy,California,West,2001,3:Newest,21,26,Family,Steel,Sit Down,25,655,50,No,0,Zierer,37.0233,-121.4938
Timber Wolf,Worlds of Fun,Kansas City,Missouri,Midwest,1989,2:Recent,53,100,Extreme,Wood,Sit Down,95,4230,133,No,0,Dinn Corporation,39.1024,-94.5986
Timberhawk: Ride of Prey,Wild Waves Theme & Water Park,Federal Way,Washington,West,2003,3:Newest,50,75,Extreme,Wood,Sit Down,NA,2600,NA,No,0,S&S Sansei Technologies,47.3077,-122.3158
Timberline Twister,Knott's Berry Farm,Buena Park,California,West,1983,2:Recent,NA,30,Thrill,Steel,Sit Down,10,480,55,No,0,Bradley and Kaye,33.8463,-118.01220000000001
Time Traveler,Silver Dollar City,Branson,Missouri,Midwest,2018,3:Newest,50.3,100,Extreme,Steel,Sit Down,90,3020,117,Yes,3,Mack Rides GmbH & Co KG,36.661,-93.2358
Titan,Six Flags Over Texas,Arlington,Texas,South,2001,3:Newest,85,245,Extreme,Steel,Sit Down,255,5312,210,No,0,Giovanola,32.6356,-97.1488
TMNT Shellraiser,Nickelodeon Universe Theme Park,East Rutherford,New Jersey,Northeast,2019,3:Newest,62.1,141,Extreme,Steel,Sit Down,138,3280.8,112,Yes,7,Gerstlauer Amusement Rides GmbH,40.8284,-74.0939
Top Thrill Dragster,Cedar Point,Sandusky,Ohio,Midwest,2003,3:Newest,120,420,Extreme,Steel,Sit Down,400,2800,30,No,0,Intamin Amusement Rides,41.3991,-82.7244
Tornado,Adventureland,Altoona,Iowa,Midwest,1978,1:Older,58,93,Thrill,Wood,Sit Down,76,2840,120,No,0,NA,41.651,-93.4685
Tornado,Stricker's Grove,Ross,Ohio,Midwest,1993,2:Recent,45,50,Thrill,Wood,Sit Down,55,2080,93,No,0,NA,39.3124,-84.6483
Trailblazer,Hersheypark,Hershey,Pennsylvania,Northeast,1974,1:Older,35,43,Thrill,Steel,Sit Down,NA,1874,75,No,0,Arrow Dynamics,40.2697,-76.6364
Tremors,Silverwood Theme Park,Athol,Idaho,West,1999,2:Recent,50,85,Extreme,Wood,Sit Down,99,3158,100,No,0,"Custom Coasters International, Inc.",47.9224,-116.686
Troublesome Trucks Runaway Coaster,Edaville Family Theme Park,Carver,Massachusetts,Northeast,2015,3:Newest,19,29.5,Family,Steel,Sit Down,NA,574,100,No,0,Zamperla,41.8962,-70.7597
Tumbleweed,Adventure Park USA,Monrovia,Maryland,South,2015,3:Newest,NA,15,Family,Steel,Sit Down,12,170,62,No,0,Miler Manufacturing,39.3516,-77.2658
Turbulence,Adventureland,Farmingdale,New York,Northeast,2015,3:Newest,40,55,Thrill,Steel,Sit Down,NA,1253.3,NA,No,0,Mack Rides GmbH & Co KG,40.7327,-73.4328
Twist 'n' Shout,Family Kingdom Amusement Park,Myrtle Beach,South Carolina,South,2013,3:Newest,25,38,Thrill,Steel,Sit Down,15,885,61,No,0,Zamperla,33.7716,-78.7847
Twisted Colossus,Six Flags Magic Mountain,Valencia,California,West,2015,3:Newest,57,121,Extreme,Steel,Sit Down,128,4990,220,Yes,2,Rocky Mountain Construction,34.4658,-118.5538
Twisted Cyclone,Six Flags Over Georgia,Austell,Georgia,South,2018,3:Newest,50,100,Extreme,Steel,Sit Down,96,2400,72,Yes,3,Rocky Mountain Construction,33.8369,-84.6307
Twisted Timbers,Kings Dominion,Doswell,Virginia,South,2018,3:Newest,54,111,Extreme,Steel,Sit Down,109,3361,NA,Yes,3,Rocky Mountain Construction,37.8601,-77.4642
Twisted Typhoon,Wild Adventures,Valdosta,Georgia,South,1999,2:Recent,49.7,109.3,Extreme,Steel,Inverted,86,2260.5,96,Yes,5,Vekoma,30.7539,-83.3321
Twister,Knoebels Amusement Resort,Elysburg,Pennsylvania,Northeast,1999,2:Recent,51.5,101.6,Extreme,Wood,Sit Down,89.6,3900,130,No,0,NA,40.8594,-76.5508
Twister II,Elitch Gardens,Denver,Colorado,West,1995,2:Recent,55,100,Extreme,Wood,Sit Down,80,4640,137,No,0,Hensel Phelps Construction Co.,39.7602,-104.9966
Twist-N-Shout,Malibu Jack's,Lexington,Kentucky,South,2018,3:Newest,25,38,Family,Steel,Sit Down,15,885,61,No,0,SBF Visa Group,38.0378,-84.6165
Twist-N-Shout,Malibu Jack's,Louisville,Kentucky,South,2019,3:Newest,25,38,Family,Steel,Sit Down,15,885,60,No,0,SBF Visa Group,38.189,-85.6768
Twist-N-Shout,Fun Land of Fredericksburg,Fredericksburg,Virginia,South,2018,3:Newest,25,38,Family,Steel,Sit Down,15,885,60,No,0,SBF Visa Group,38.2951,-77.4837
Underground,Adventureland,Altoona,Iowa,Midwest,1996,2:Recent,NA,13,Family,Wood,Sit Down,NA,911,144,No,0,"Custom Coasters International, Inc.",41.651,-93.4685
Undertow,Santa Cruz Beach Boardwalk,Santa Cruz,California,West,2013,3:Newest,40,50,Thrill,Steel,Sit Down,NA,1410,NA,No,0,Maurer Rides GmbH,37.0527,-122.1111
Untamed,Canobie Lake Park,Salem,New Hampshire,Northeast,2011,3:Newest,43.5,72.2,Extreme,Steel,Sit Down,72,1184.4,51,Yes,3,Gerstlauer Amusement Rides GmbH,42.7884,-71.2009
Valravn,Cedar Point,Sandusky,Ohio,Midwest,2016,3:Newest,75,223,Extreme,Steel,Sit Down,214,3415,116,Yes,3,Bolliger & Mabillard,41.3991,-82.7244
Vapor Trail,Sesame Place,Langhorne,Pennsylvania,Northeast,1998,2:Recent,27,56,Family,Steel,Sit Down,43,1300,75,No,0,Vekoma,40.18,-74.9121
Verbolten,Busch Gardens Williamsburg,Williamsburg,Virginia,South,2012,3:Newest,53,89,Extreme,Steel,Sit Down,88,2835,205,No,0,Zierer,37.3105,-76.7468
Vertical Velocity,Six Flags Great America,Gurnee,Illinois,Midwest,2001,3:Newest,70,185,Extreme,Steel,Inverted,160,630,45,No,0,Intamin Amusement Rides,42.3751,-87.9397
Viper,Six Flags Magic Mountain,Valencia,California,West,1990,2:Recent,70,188,Extreme,Steel,Sit Down,171,3830,150,Yes,7,Arrow Dynamics,34.4658,-118.5538
Viper,Six Flags Great America,Gurnee,Illinois,Midwest,1995,2:Recent,50,100,Extreme,Wood,Sit Down,80,3458,105,No,0,NA,42.3751,-87.9397
Viper,Six Flags Darien Lake,Darien Center,New York,Northeast,1982,2:Recent,50,121,Extreme,Steel,Sit Down,75,3100,124,Yes,5,Arrow Dynamics,42.896,-78.3857
Vortex,Carowinds,Charlotte,North Carolina,South,1992,2:Recent,50,90,Extreme,Steel,Stand Up,80,2040,139,Yes,2,Bolliger & Mabillard,35.26,-80.8042
Voyage,Holiday World,Santa Claus,Indiana,Midwest,2006,3:Newest,67,159,Extreme,Wood,Sit Down,154,6442,165,No,0,NA,38.1176,-86.9286
Wacky Mouse,York's Wild Kingdom,York Beach,Maine,Northeast,2010,3:Newest,NA,16,Family,Steel,Sit Down,NA,NA,82,No,0,Fajume,43.1853,-70.6035
Wacky Worm,Adventure Landing,Jacksonville Beach,Florida,South,2005,3:Newest,10,13,Family,Steel,Sit Down,12,444,30,No,0,Fajume,30.2801,-81.4165
Wacky Worm,Lake Winnepesaukah,Rossville,Georgia,South,1991,2:Recent,10,13,Thrill,Steel,Sit Down,12,444,30,No,0,Fajume,34.9831,-85.2861
Wacky Worm,Santa's Village AZoosment Park,Dundee,Illinois,Midwest,2015,3:Newest,10,13,Family,Steel,Sit Down,12,444,30,No,0,Fajume,42.1062,-88.3044
Wacky Worm,Baja Amusements,Ocean City,Maryland,South,1998,2:Recent,10,13,Family,Steel,Sit Down,12,444,30,No,0,Fajume,38.3505,-75.1289
Wacky Worm,Jolly Roger Amusement Park,Ocean City,Maryland,South,2005,3:Newest,10,13,Family,Steel,Sit Down,12,444,30,No,0,Fajume,38.3505,-75.1289
