Coaster,Park,City,State,Census Region,Year Opened,AgeGroup,TopSpeed,MaxHeight,Scale,Type,Design,Drop,Length,Duration,Inversions?,# of Inversions,Make,Latitude,Longitude
Coastersaurus,Legoland California,Carlsbad,California,West,2004,3:Newest,20.5,18.1,Family,Steel,Sit Down,NA,492.2,67,No,0,Gerstlauer Amusement Rides GmbH,33.1442,-117.3194
Coastersaurus,Legoland Florida,Winter Haven,Florida,South,2004,3:Newest,32,40,Family,Wood,Sit Down,NA,1365,50,No,0,Martin & Vleminckx,27.9873,-81.7625
Cobra,Six Flags Discovery Kingdom,Vallejo,California,West,2000,3:Newest,22.4,26.3,Family,Steel,Sit Down,25,1181.1,129,No,0,Zierer,38.1874,-122.2241
Cobra,Zoomers Family Amusement Park,Fort Myers Beach,Florida,South,2012,3:Newest,NA,20,Family,Steel,Sit Down,8,NA,NA,No,0,Wisdom Rides,26.5529,-81.9486
Cobra's Curse,Busch Gardens Tampa,Tampa,Florida,South,2016,3:Newest,40,70,Thrill,Steel,Sit Down,70,2100,156,No,0,Mack Rides GmbH & Co KG,27.9961,-82.582
Cocoa Cruiser,Hersheypark,Hershey,Pennsylvania,Northeast,2014,3:Newest,16,13,Family,Steel,Sit Down,NA,279,44,No,0,Zamperla,40.2697,-76.6364
Colossus the Fire Dragon,Lagoon,Farmington,Utah,West,1983,2:Recent,49.1,86.9,Extreme,Steel,Sit Down,81,2296.6,105,Yes,2,Schwarzkopf,40.9691,-111.9073
Comet,Great Escape,Queensbury,New York,Northeast,1994,2:Recent,55,95,Extreme,Wood,Sit Down,87,4197,120,No,0,"Philadelphia Toboggan Coasters, Inc.",43.341,-73.6859
Comet,Hersheypark,Hershey,Pennsylvania,Northeast,1946,1:Older,50,84,Extreme,Wood,Sit Down,78,3360,105,No,0,"Philadelphia Toboggan Coasters, Inc.",40.2697,-76.6364
Comet,Waldameer,Erie,Pennsylvania,Northeast,1951,1:Older,25,37,Family,Wood,Sit Down,25,1300,84,No,0,"Philadelphia Toboggan Coasters, Inc.",42.1213,-80.0889
Copperhead Strike,Carowinds,Charlotte,North Carolina,South,2019,3:Newest,50,82,Extreme,Steel,Sit Down,80,3255,144,Yes,5,Mack Rides GmbH & Co KG,35.26,-80.8042
Corkscrew,Silverwood Theme Park,Athol,Idaho,West,1990,2:Recent,46,70,Extreme,Steel,Sit Down,62,1250,73,Yes,2,Arrow Dynamics,47.9224,-116.686
Corkscrew,Michigan's Adventure,Muskegon,Michigan,Midwest,1979,1:Older,45,70,Extreme,Steel,Sit Down,65,1250,90,Yes,2,Arrow Dynamics,43.2377,-86.2542
Corkscrew,Valleyfair!,Shakopee,Minnesota,Midwest,1980,2:Recent,50,85,Extreme,Steel,Sit Down,65,1950,90,Yes,3,Arrow Dynamics,44.7986,-93.5194
Corkscrew,Cedar Point,Sandusky,Ohio,Midwest,1976,1:Older,48,85,Extreme,Steel,Sit Down,65,2050,120,Yes,3,Arrow Dynamics,41.3991,-82.7244
Cornball Express,Indiana Beach,Monticello,Indiana,Midwest,2001,3:Newest,45,55,Thrill,Wood,Sit Down,78,2100,93,No,0,"Custom Coasters International, Inc.",40.7792,-86.7495
Corona Cobra Coaster,Fantasy Forest at the Flushing Meadows Carousel,Flushing,New York,Northeast,2013,3:Newest,10,11.5,Family,Steel,Sit Down,10,300,59,No,0,E&F Miler Industries,40.7807,-73.8253
Cosmic Coaster,Worlds of Fun,Kansas City,Missouri,Midwest,1993,2:Recent,15,12,Family,Steel,Sit Down,9,444,55,No,0,Preston & Barbieri,39.1024,-94.5986
Crazy 8,FunXcess,Lithonia,Georgia,South,2017,3:Newest,NA,14,Family,Steel,Sit Down,NA,190,NA,No,0,SBF Visa Group,33.6675,-84.1448
Crazy Dane Coaster,Scandia Family Fun Center,Sacramento,California,West,2015,3:Newest,NA,35,Thrill,Steel,Sit Down,25,1100,92,No,0,E&F Miler Industries,38.3805,-121.5554
Crazy Mouse,Park at OWA,Foley,Alabama,South,2017,3:Newest,29.2,36.1,Thrill,Steel,Sit Down,NA,1036.8,144,No,0,Zamperla,30.3847,-87.7268
Crazy Mouse,Steel Pier,Atlantic City,New Jersey,Northeast,1999,2:Recent,29.1,42.7,Thrill,Steel,Sit Down,30,1377.9,90,No,0,Reverchon,39.3773,-74.4511
Crazy Mouse,Playland Park,Rye,New York,Northeast,2003,3:Newest,31.1,41,Thrill,Steel,Sit Down,NA,1234,80,No,0,Zamperla,40.9789,-73.6933
Crazy Mouse,DelGrosso's Amusement Park,Tipton,Pennsylvania,Northeast,2004,3:Newest,29.1,42.7,Thrill,Steel,Sit Down,NA,1377.9,90,No,0,Reverchon,40.6367,-78.3036
Cruiser Coaster,Craig's Cruisers Family Fun Center,Wyoming,Michigan,Midwest,2018,3:Newest,NA,14,Family,Steel,Sit Down,NA,190,NA,No,0,SBF Visa Group,42.8977,-85.6928
Cyclone,Lakeside Amusement Park,Denver,Colorado,West,1940,1:Older,55,80,Thrill,Wood,Sit Down,80,2800,120,No,0,NA,39.7602,-104.9966
Cyclone,Luna Park,Brooklyn,New York,Northeast,1927,1:Older,60,75,Thrill,Wood,Sit Down,58.6,2850.3,110,No,0,NA,40.6312,-73.9415
Cyclone,Wonderland Amusement Park,Amarillo,Texas,South,1968,1:Older,17,35,Thrill,Steel,Sit Down,15,907,70,No,0,Miler Manufacturing,35.206,-101.8396
